562,Waltham,Massachusetts,62227,5.0%
563,Coon Rapids,Minnesota,62103,0.6%
564,Haverhill,Massachusetts,62088,5.0%
565,Council Bluffs,Iowa,61969,6.2%
566,Taylor,Michigan,61817,-6.3%
567,Utica,New York,61808,2.2%
568,Ames,Iowa,61792,21.3%
569,La Habra,California,61653,3.6%
570,Encinitas,California,61588,5.8%
571,Bowling Green,Kentucky,61488,24.1%
572,Burnsville,Minnesota,61434,1.9%
573,Greenville,South Carolina,61397,8.2%
574,West Des Moines,Iowa,61255,29.8%
575,Cedar Park,Texas,61238,134.3%
576,Tulare,California,61170,33.3%
577,Monterey Park,California,61085,1.5%
578,Vineland,New Jersey,61050,9.3%
579,Terre Haute,Indiana,61025,2.5%
580,North Miami,Florida,61007,2.0%
581,Mansfield,Texas,60872,114.2%
582,West Allis,Wisconsin,60697,-0.6%
583,Bristol,Connecticut,60568,0.4%
584,Taylorsville,Utah,60519,2.9%
585,Malden,Massachusetts,60509,7.4%
586,Meriden,Connecticut,60456,3.7%
587,Blaine,Minnesota,60407,32.8%
588,Wellington,Florida,60202,55.0%
589,Cupertino,California,60189,14.3%
590,Springfield,Oregon,60177,12.4%
591,Rogers,Arkansas,60112,50.6%
592,St. Clair Shores,Michigan,60070,-4.6%
593,Gardena,California,59957,3.4%
594,Pontiac,Michigan,59887,-11.4%
595,National City,California,59834,10.1%
596,Grand Junction,Colorado,59778,30.9%
597,Rocklin,California,59738,60.3%
598,Chapel Hill,North Carolina,59635,24.1%
599,Casper,Wyoming,59628,19.9%
600,Broomfield,Colorado,59471,50.3%
601,Petaluma,California,59440,8.4%
602,South Jordan,Utah,59366,100.1%
603,Springfield,Ohio,59357,-9.8%
604,Great Falls,Montana,59351,3.9%
605,Lancaster,Pennsylvania,59325,4.5%
606,North Port,Florida,59212,154.6%
607,Lakewood,Washington,59097,1.1%
608,Marietta,Georgia,59089,-3.8%
609,San Rafael,California,58994,5.0%
610,Royal Oak,Michigan,58946,-1.7%
611,Des Plaines,Illinois,58918,3.2%
612,Huntington Park,California,58879,-4.1%
613,La Mesa,California,58642,6.9%
614,Orland Park,Illinois,58590,13.9%
615,Auburn,Alabama,58582,26.4%
616,Lakeville,Minnesota,58562,34.3%
617,Owensboro,Kentucky,58416,7.7%
618,Moore,Oklahoma,58414,41.5%
619,Jupiter,Florida,58298,46.2%
620,Idaho Falls,Idaho,58292,14.0%
621,Dubuque,Iowa,58253,0.9%
622,Bartlett,Tennessee,58226,31.7%
623,Rowlett,Texas,58043,28.6%
624,Novi,Michigan,57960,22.0%
625,White Plains,New York,57866,8.5%
626,Arcadia,California,57639,8.3%
627,Redmond,Washington,57530,26.0%
628,Lake Elsinore,California,57525,96.5%
629,Ocala,Florida,57468,20.8%
630,Tinley Park,Illinois,57282,16.3%
631,Port Orange,Florida,57203,22.8%
632,Medford,Massachusetts,57170,2.7%
633,Oak Lawn,Illinois,57073,3.3%
634,Rocky Mount,North Carolina,56954,-3.1%
635,Kokomo,Indiana,56895,21.3%
636,Coconut Creek,Florida,56792,28.4%
637,Bowie,Maryland,56759,8.6%
638,Berwyn,Illinois,56758,5.1%
639,Midwest City,Oklahoma,56756,4.5%
640,Fountain Valley,California,56707,3.0%
641,Buckeye,Arizona,56683,480.9%
642,Dearborn Heights,Michigan,56620,-3.0%
643,Woodland,California,56590,13.8%
644,Noblesville,Indiana,56540,88.1%
645,Valdosta,Georgia,56481,22.3%
646,Diamond Bar,California,56449,0.1%
647,Manhattan,Kansas,56143,22.8%
648,Santee,California,56105,5.7%
649,Taunton,Massachusetts,56069,0.0%
650,Sanford,Florida,56002,42.8%
651,Kettering,Ohio,55870,-3.1%
652,New Brunswick,New Jersey,55831,15.5%
653,Decatur,Alabama,55816,3.1%
654,Chicopee,Massachusetts,55717,1.7%
655,Anderson,Indiana,55670,-6.6%
656,Margate,Florida,55456,2.7%
657,Weymouth Town,Massachusetts,55419,
658,Hempstead,New York,55361,4.0%
659,Corvallis,Oregon,55298,11.8%
660,Eastvale,California,55191,
661,Porterville,California,55174,20.1%
662,West Haven,Connecticut,55046,5.1%
663,Brentwood,California,55000,122.3%
664,Paramount,California,54980,-0.7%
665,Grand Forks,North Dakota,54932,11.5%
666,Georgetown,Texas,54898,91.9%
667,St. Peters,Missouri,54842,6.5%
668,Shoreline,Washington,54790,2.9%
669,Mount Prospect,Illinois,54771,-2.5%
670,Hanford,California,54686,30.3%
671,Normal,Illinois,54664,19.7%
672,Rosemead,California,54561,1.7%
673,Lehi,Utah,54382,176.3%
674,Pocatello,Idaho,54350,5.4%
675,Highland,California,54291,21.0%
676,Novato,California,54194,13.3%
677,Port Arthur,Texas,54135,-6.0%
678,Carson City,Nevada,54080,2.9%
679,San Marcos,Texas,54076,48.5%
680,Hendersonville,Tennessee,54068,31.7%
681,Elyria,Ohio,53956,-3.7%
682,Revere,Massachusetts,53756,13.4%
683,Pflugerville,Texas,53752,123.4%
684,Greenwood,Indiana,53665,46.0%
685,Bellevue,Nebraska,53663,20.5%
686,Wheaton,Illinois,53648,-3.4%
687,Smyrna,Georgia,53438,20.0%
688,Sarasota,Florida,53326,1.4%
689,Blue Springs,Missouri,53294,9.9%
690,Colton,California,53243,10.8%
691,Euless,Texas,53224,15.1%
692,Castle Rock,Colorado,53063,153.5%
693,Cathedral City,California,52977,23.2%
694,Kingsport,Tennessee,52962,16.7%
695,Lake Havasu City,Arizona,52844,24.6%
696,Pensacola,Florida,52703,-6.0%
697,Hoboken,New Jersey,52575,35.8%
698,Yucaipa,California,52536,26.8%
699,Watsonville,California,52477,12.7%
700,Richland,Washington,52413,34.6%
701,Delano,California,52403,31.8%
702,Hoffman Estates,Illinois,52398,5.4%
703,Florissant,Missouri,52363,-2.8%
704,Placentia,California,52206,11.8%
705,West New York,New Jersey,52122,13.3%
706,Dublin,California,52105,70.0%
707,Oak Park,Illinois,52066,-0.8%
708,Peabody,Massachusetts,52044,7.5%
709,Perth Amboy,New Jersey,51982,9.7%
710,Battle Creek,Michigan,51848,-2.8%
711,Bradenton,Florida,51763,3.4%
712,Gilroy,California,51701,23.9%
713,Milford,Connecticut,51644,1.8%
714,Albany,Oregon,51583,25.5%
715,Ankeny,Iowa,51567,86.9%
716,La Crosse,Wisconsin,51522,-0.8%
717,Burlington,North Carolina,51510,12.1%
718,DeSoto,Texas,51483,36.0%
719,Harrisonburg,Virginia,51395,27.1%
720,Minnetonka,Minnesota,51368,0.4%
721,Elkhart,Indiana,51265,-2.5%
722,Lakewood,Ohio,51143,-9.4%
723,Glendora,California,51074,3.1%
724,Southaven,Mississippi,50997,72.8%
725,Charleston,West Virginia,50821,-4.7%
726,Joplin,Missouri,50789,11.2%
727,Enid,Oklahoma,50725,8.1%
728,Palm Beach Gardens,Florida,50699,39.6%
729,Brookhaven,Georgia,50603,
730,Plainfield,New Jersey,50588,5.7%
731,Grand Island,Nebraska,50550,16.0%
732,Palm Desert,California,50508,13.2%
733,Huntersville,North Carolina,50458,92.9%
734,Tigard,Oregon,50444,17.8%
735,Lenexa,Kansas,50344,24.6%
736,Saginaw,Michigan,50303,-18.2%
737,Kentwood,Michigan,50233,10.5%
738,Doral,Florida,50213,137.6%
739,Apple Valley,Minnesota,50201,9.2%
740,Grapevine,Texas,50195,17.6%
741,Aliso Viejo,California,50175,25.4%
742,Sammamish,Washington,50169,44.1%
743,Casa Grande,Arizona,50111,86.0%
744,Pinellas Park,Florida,49998,5.9%
745,Troy,New York,49974,1.5%
746,West Sacramento,California,49891,55.6%
747,Burien,Washington,49858,56.7%
748,Commerce City,Colorado,49799,135.4%
749,Monroe,Louisiana,49761,-6.1%
750,Cerritos,California,49707,-3.6%
751,Downers Grove,Illinois,49670,0.0%
752,Coral Gables,Florida,49631,16.1%
753,Wilson,North Carolina,49628,10.1%
754,Niagara Falls,New York,49468,-10.8%
755,Poway,California,49417,2.4%
756,Edina,Minnesota,49376,4.1%
757,Cuyahoga Falls,Ohio,49267,-0.2%
758,Rancho Santa Margarita,California,49228,4.6%
759,Harrisburg,Pennsylvania,49188,0.6%
760,Huntington,West Virginia,49177,-5.0%
761,La Mirada,California,49133,4.6%
762,Cypress,California,49087,5.3%
763,Caldwell,Idaho,48957,77.1%
764,Logan,Utah,48913,14.5%
765,Galveston,Texas,48733,-15.2%
766,Sheboygan,Wisconsin,48725,-3.9%
767,Middletown,Ohio,48630,-5.7%
768,Murray,Utah,48612,6.6%
769,Roswell,New Mexico,48611,7.5%
770,Parker,Colorado,48608,96.4%
771,Bedford,Texas,48592,2.9%
772,East Lansing,Michigan,48554,4.2%
773,Methuen,Massachusetts,48514,10.3%
774,Covina,California,48508,3.3%
775,Alexandria,Louisiana,48426,4.1%
776,Olympia,Washington,48338,12.1%
777,Euclid,Ohio,48139,-8.4%
778,Mishawaka,Indiana,47989,2.0%
779,Salina,Kansas,47846,4.5%
780,Azusa,California,47842,6.7%
781,Newark,Ohio,47777,3.1%
782,Chesterfield,Missouri,47749,1.9%
783,Leesburg,Virginia,47673,66.0%
784,Dunwoody,Georgia,47591,
785,Hattiesburg,Mississippi,47556,3.1%
786,Roseville,Michigan,47555,-1.0%
787,Bonita Springs,Florida,47547,43.8%
788,Portage,Michigan,47523,5.7%
789,St. Louis Park,Minnesota,47411,7.3%
790,Collierville,Tennessee,47333,43.4%
791,Middletown,Connecticut,47333,3.6%
792,Stillwater,Oklahoma,47186,20.1%
793,East Providence,Rhode Island,47149,-3.3%
794,Lawrence,Indiana,47135,20.5%
795,Wauwatosa,Wisconsin,47134,0.0%
796,Mentor,Ohio,46979,-6.6%
797,Ceres,California,46714,34.0%
798,Cedar Hill,Texas,46663,42.4%
799,Mansfield,Ohio,46454,-10.1%
800,Binghamton,New York,46444,-1.7%
801,Coeur d'Alene,Idaho,46402,32.8%
802,San Luis Obispo,California,46377,4.4%
803,Minot,North Dakota,46321,26.6%
804,Palm Springs,California,46281,7.7%
805,Pine Bluff,Arkansas,46094,-16.2%
806,Texas City,Texas,46081,10.3%
807,Summerville,South Carolina,46074,62.9%
808,Twin Falls,Idaho,45981,31.5%
809,Jeffersonville,Indiana,45929,53.3%
810,San Jacinto,California,45851,91.8%
811,Madison,Alabama,45799,53.7%
812,Altoona,Pennsylvania,45796,-7.3%
813,Columbus,Indiana,45775,16.4%
814,Beavercreek,Ohio,45712,19.0%
815,Apopka,Florida,45587,63.9%
816,Elmhurst,Illinois,45556,5.7%
817,Maricopa,Arizona,45508,2503.4%
818,Farmington,New Mexico,45426,18.1%
819,Glenview,Illinois,45417,5.2%
820,Cleveland Heights,Ohio,45394,-10.3%
821,Draper,Utah,45285,77.4%
822,Lincoln,California,45237,285.2%
823,Sierra Vista,Arizona,45129,19.3%
824,Lacey,Washington,44919,41.7%
825,Biloxi,Mississippi,44820,-11.5%
826,Strongsville,Ohio,44730,1.9%
827,Barnstable Town,Massachusetts,44641,-7.1%
828,Wylie,Texas,44575,185.2%
829,Sayreville,New Jersey,44412,9.6%
830,Kannapolis,North Carolina,44359,18.6%
831,Charlottesville,Virginia,44349,10.5%
832,Littleton,Colorado,44275,9.4%
833,Titusville,Florida,44206,7.8%
834,Hackensack,New Jersey,44113,2.9%
835,Newark,California,44096,3.3%
836,Pittsfield,Massachusetts,44057,-3.6%
837,York,Pennsylvania,43935,6.4%
838,Lombard,Illinois,43907,2.9%
839,Attleboro,Massachusetts,43886,4.6%
840,DeKalb,Illinois,43849,11.8%
841,Blacksburg,Virginia,43609,9.4%
842,Dublin,Ohio,43607,37.6%
843,Haltom City,Texas,43580,11.4%
844,Lompoc,California,43509,5.5%
845,El Centro,California,43363,13.7%
846,Danville,California,43341,3.7%
847,Jefferson City,Missouri,43330,6.7%
848,Cutler Bay,Florida,43328,42.9%
849,Oakland Park,Florida,43286,2.7%
850,North Miami Beach,Florida,43250,3.6%
851,Freeport,New York,43167,-1.4%
852,Moline,Illinois,43116,-1.9%
853,Coachella,California,43092,88.4%
854,Fort Pierce,Florida,43074,6.9%
855,Smyrna,Tennessee,43060,54.9%
856,Bountiful,Utah,43023,3.9%
857,Fond du Lac,Wisconsin,42970,1.7%
858,Everett,Massachusetts,42935,12.1%
859,Danville,Virginia,42907,-11.0%
860,Keller,Texas,42907,53.3%
861,Belleville,Illinois,42895,1.2%
862,Bell Gardens,California,42889,-2.7%
863,Cleveland,Tennessee,42774,14.1%
864,North Lauderdale,Florida,42757,10.8%
865,Fairfield,Ohio,42635,1.2%
866,Salem,Massachusetts,42544,5.1%
867,Rancho Palos Verdes,California,42448,2.9%
868,San Bruno,California,42443,5.6%
869,Concord,New Hampshire,42419,4.1%
870,Burlington,Vermont,42284,6.1%
871,Apex,North Carolina,42214,98.8%
872,Midland,Michigan,42181,0.9%
873,Altamonte Springs,Florida,42150,2.0%
874,Hutchinson,Kansas,41889,0.1%
875,Buffalo Grove,Illinois,41778,-3.4%
876,Urbandale,Iowa,41776,41.5%
877,State College,Pennsylvania,41757,8.7%
878,Urbana,Illinois,41752,10.3%
879,Plainfield,Illinois,41734,203.6%
880,Manassas,Virginia,41705,19.5%
881,Bartlett,Illinois,41679,13.1%
882,Kearny,New Jersey,41664,2.8%
883,Oro Valley,Arizona,41627,27.0%
884,Findlay,Ohio,41512,5.8%
885,Rohnert Park,California,41398,0.0%
887,Westfield,Massachusetts,41301,3.0%
886,Linden,New Jersey,41301,4.7%
888,Sumter,South Carolina,41190,1.3%
889,Wilkes-Barre,Pennsylvania,41108,-4.3%
890,Woonsocket,Rhode Island,41026,-5.2%
891,Leominster,Massachusetts,41002,-1.1%
892,Shelton,Connecticut,40999,7.3%
893,Brea,California,40963,15.2%
894,Covington,Kentucky,40956,-4.7%
895,Rockwall,Texas,40922,117.2%
896,Meridian,Mississippi,40921,-0.9%
897,Riverton,Utah,40921,61.6%
898,St. Cloud,Florida,40918,86.2%
899,Quincy,Illinois,40915,0.5%
900,Morgan Hill,California,40836,19.5%
901,Warren,Ohio,40768,-15.2%
902,Edmonds,Washington,40727,2.9%
903,Burleson,Texas,40714,85.3%
904,Beverly,Massachusetts,40664,2.0%
905,Mankato,Minnesota,40641,24.7%
906,Hagerstown,Maryland,40612,10.4%
907,Prescott,Arizona,40590,18.1%
908,Campbell,California,40584,4.2%
909,Cedar Falls,Iowa,40566,12.0%
910,Beaumont,California,40481,254.5%
911,La Puente,California,40435,-1.6%
912,Crystal Lake,Illinois,40388,5.3%
913,Fitchburg,Massachusetts,40383,3.5%
914,Carol Stream,Illinois,40379,-0.2%
915,Hickory,North Carolina,40361,7.0%
916,Streamwood,Illinois,40351,10.1%
917,Norwich,Connecticut,40347,11.6%
918,Coppell,Texas,40342,10.3%
919,San Gabriel,California,40275,0.9%
920,Holyoke,Massachusetts,40249,0.9%
921,Bentonville,Arkansas,40167,97.7%
922,Florence,Alabama,40059,10.2%
923,Peachtree Corners,Georgia,40059,
924,Brentwood,Tennessee,40021,51.9%
925,Bozeman,Montana,39860,41.9%
926,New Berlin,Wisconsin,39834,3.6%
927,Goose Creek,South Carolina,39823,26.1%
928,Huntsville,Texas,39795,13.2%
929,Prescott Valley,Arizona,39791,62.9%
930,Maplewood,Minnesota,39765,12.3%
931,Romeoville,Illinois,39650,79.5%
932,Duncanville,Texas,39605,9.7%
933,Atlantic City,New Jersey,39551,-2.2%
934,Clovis,New Mexico,39508,21.3%
935,The Colony,Texas,39458,45.7%
936,Culver City,California,39428,1.3%
937,Marlborough,Massachusetts,39414,7.6%
938,Hilton Head Island,South Carolina,39412,16.0%
939,Moorhead,Minnesota,39398,21.3%
940,Calexico,California,39389,44.0%
941,Bullhead City,Arizona,39383,15.9%
942,Germantown,Tennessee,39375,4.1%
943,La Quinta,California,39331,59.9%
944,Lancaster,Ohio,39325,10.7%
945,Wausau,Wisconsin,39309,1.7%
946,Sherman,Texas,39296,11.6%
947,Ocoee,Florida,39172,57.9%
948,Shakopee,Minnesota,39167,85.7%
949,Woburn,Massachusetts,39083,4.4%
950,Bremerton,Washington,39056,4.9%
951,Rock Island,Illinois,38877,-1.9%
952,Muskogee,Oklahoma,38863,-0.7%
953,Cape Girardeau,Missouri,38816,9.4%
954,Annapolis,Maryland,38722,7.6%
955,Greenacres,Florida,38696,35.5%
956,Ormond Beach,Florida,38661,5.8%
957,Hallandale Beach,Florida,38632,12.4%
958,Stanton,California,38623,2.8%
959,Puyallup,Washington,38609,11.8%
960,Pacifica,California,38606,0.5%
961,Hanover Park,Illinois,38510,0.6%
962,Hurst,Texas,38448,5.8%
963,Lima,Ohio,38355,-8.1%
964,Marana,Arizona,38290,166.2%
965,Carpentersville,Illinois,38241,22.8%
966,Oakley,California,38194,47.7%
967,Huber Heights,Ohio,38142,-0.2%
968,Lancaster,Texas,38071,46.4%
969,Montclair,California,38027,12.1%
970,Wheeling,Illinois,38015,4.8%
971,Brookfield,Wisconsin,37999,-1.9%
972,Park Ridge,Illinois,37839,0.1%
973,Florence,South Carolina,37792,19.8%
974,Roy,Utah,37733,13.3%
975,Winter Garden,Florida,37711,142.5%
976,Chelsea,Massachusetts,37670,7.3%
977,Valley Stream,New York,37659,3.6%
978,Spartanburg,South Carolina,37647,-6.2%
979,Lake Oswego,Oregon,37610,5.3%
980,Friendswood,Texas,37587,28.6%
981,Westerville,Ohio,37530,5.7%
982,Northglenn,Colorado,37499,15.5%
983,Phenix City,Alabama,37498,31.9%
984,Grove City,Ohio,37490,35.6%
985,Texarkana,Texas,37442,7.4%
986,Addison,Illinois,37385,2.6%
987,Dover,Delaware,37366,16.0%
988,Lincoln Park,Michigan,37313,-6.7%
989,Calumet City,Illinois,37240,-4.5%
990,Muskegon,Michigan,37213,-7.1%
991,Aventura,Florida,37199,47.2%
992,Martinez,California,37165,3.4%
993,Greenfield,Wisconsin,37159,4.8%
994,Apache Junction,Arizona,37130,15.7%
995,Monrovia,California,37101,0.2%
996,Weslaco,Texas,37093,28.8%
997,Keizer,Oregon,37064,14.4%
998,Spanish Fork,Utah,36956,78.1%
999,Beloit,Wisconsin,36888,2.9%
1000,Panama City,Florida,36877,0.1%