Gym Link String,	Actual Name
retrofitness,Retro Fitness
lafitness,LA Fitness
crunch,Crunch
pushfitness,Push Fitness
planetfitness,Planet Fitness
24hourfitness,24 Hour Fitness
anytimefitness,Any Time Fitness
newrorksportsclub,New York Sports Clubs
ymca,YMCA
equinox,Equinox
talwalkars,Talwakars
crossfit,CrossFit
clubonefitness,Club One Fitness
snapfitness,Snap Fitness
curves,Curves
irontribefitness,Iron Tribe Fitness
urbanbodyfitness,Urban Body Fitness
justfitness4u,Just Fitness 4U
worldgym,World Gym
livefitgym,Live Fit Gym
houstongym,Houston Gym
fithouston,Fit Athletic Club
fitnessconnection,Fitness Connection
cityfitnessphilly,City Fitness
fitgym,Fit Gym
youfit,YouFit
optimalsport,Optimal Sport Health Clubs